"GeometryIds","Points:0","Points:1","Points:2","a","arc_length","current density:0","current density:1","current density:2","magnetic field strength:0","magnetic field strength:1","magnetic field strength:2","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","magnetic vector potential:0","magnetic vector potential:1","magnetic vector potential:2"
15,-0.00067803,0.040294,0,-4.8862e-05,0.015446,0,0,0,1895.3,-72952,0,0.0023817,-0.091675,0,0,0,-5.4298e-05
16,-0.00059718,0.040296,0,-4.1421e-05,0.015527,0,0,0,1012.3,-73249,0,0.0012721,-0.092048,0,0,0,-3.5538e-05
16,-0.00059718,0.040296,0,-4.1421e-05,0.015527,0,0,0,1012.3,-73249,0,0.0012721,-0.092048,0,0,0,-3.5538e-05
15,-0.00052571,0.040296,0,-3.4869e-05,0.015599,0,0,0,1494.4,-72824,0,0.0018779,-0.091513,0,0,0,-3.9517e-05
15,-0.0002986,0.040299,0,-1.4047e-05,0.015826,0,0,0,848.77,-72666,0,0.0010666,-0.091314,0,0,0,-1.6002e-05
15,-0.0002986,0.040299,0,-1.4047e-05,0.015826,0,0,0,848.77,-72666,0,0.0010666,-0.091314,0,0,0,-1.6002e-05
15,-0.0002986,0.040299,0,-1.4047e-05,0.015826,0,0,0,848.77,-72666,0,0.0010666,-0.091314,0,0,0,-1.6002e-05
15,-5.2609e-18,0.0403,0,1.3319e-05,0.016124,0,0,0,-0.18953,-72802,0,-2.3817e-07,-0.091486,0,0,0,1.3319e-05
15,5.2609e-18,0.0403,0,1.3319e-05,0.016124,0,0,0,-0.18953,-72802,0,-2.3817e-07,-0.091486,0,0,0,1.3319e-05
15,3.5084e-08,0.0403,0,1.3323e-05,0.016124,0,0,0,-0.28926,-72802,0,-3.6349e-07,-0.091486,0,0,0,1.3323e-05
16,0.0002986,0.040299,0,4.0686e-05,0.016423,0,0,0,-389.67,-73134,0,-0.00048967,-0.091902,0,0,0,3.4667e-05
16,0.0002986,0.040299,0,4.0686e-05,0.016423,0,0,0,-389.67,-73134,0,-0.00048967,-0.091902,0,0,0,3.4667e-05
15,0.00044568,0.040297,0,5.4171e-05,0.01657,0,0,0,-1267.1,-72768,0,-0.0015922,-0.091443,0,0,0,5.787e-05
15,0.00059718,0.040296,0,6.806e-05,0.016722,0,0,0,-1697.7,-72874,0,-0.0021333,-0.091576,0,0,0,7.3555e-05
15,0.00059718,0.040296,0,6.806e-05,0.016722,0,0,0,-1697.7,-72874,0,-0.0021333,-0.091576,0,0,0,7.3555e-05
15,0.0007721,0.040292,0,8.4158e-05,0.016896,0,0,0,-2125.4,-73044,0,-0.0026709,-0.091789,0,0,0,8.9525e-05
16,0.00089572,0.04029,0,9.5535e-05,0.01702,0,0,0,-1642.4,-73536,0,-0.002064,-0.092409,0,0,0,8.9764e-05
16,0.00089572,0.04029,0,9.5535e-05,0.01702,0,0,0,-1642.4,-73536,0,-0.002064,-0.092409,0,0,0,8.9764e-05
15,0.0010201,0.040287,0,0.00010704,0.017145,0,0,0,-2747.3,-73353,0,-0.0034524,-0.092178,0,0,0,0.00011223
15,0.0011942,0.040282,0,0.00012315,0.017319,0,0,0,-3194.7,-73618,0,-0.0040146,-0.092511,0,0,0,0.00012822
15,0.0011942,0.040282,0,0.00012315,0.017319,0,0,0,-3194.7,-73618,0,-0.0040146,-0.092511,0,0,0,0.00012822
15,0.0014927,0.040272,0,0.00015096,0.017617,0,0,0,-3957.2,-74163,0,-0.0049727,-0.093196,0,0,0,0.00015582
15,0.0014927,0.040272,0,0.00015096,0.017617,0,0,0,-3957.2,-74163,0,-0.0049727,-0.093196,0,0,0,0.00015582
15,0.001791,0.04026,0,0.00017901,0.017916,0,0,0,-4754.5,-74858,0,-0.0059747,-0.094069,0,0,0,0.00018367
15,0.001791,0.04026,0,0.00017901,0.017916,0,0,0,-4754.5,-74858,0,-0.0059747,-0.094069,0,0,0,0.00018367
15,0.0020893,0.040246,0,0.00020736,0.018215,0,0,0,-5583,-75650,0,-0.0070158,-0.095064,0,0,0,0.00021182
15,0.0020893,0.040246,0,0.00020736,0.018215,0,0,0,-5583,-75650,0,-0.0070158,-0.095064,0,0,0,0.00021182
15,0.0023874,0.040229,0,0.00023605,0.018513,0,0,0,-6463.2,-76635,0,-0.0081219,-0.096302,0,0,0,0.00024032
15,0.0023874,0.040229,0,0.00023605,0.018513,0,0,0,-6463.2,-76635,0,-0.0081219,-0.096302,0,0,0,0.00024032
15,0.0025532,0.040219,0,0.00025225,0.018679,0,0,0,-6966.8,-77244,0,-0.0087548,-0.097068,0,0,0,0.0002564
16,0.0026854,0.04021,0,0.00026516,0.018812,0,0,0,-5702.3,-78052,0,-0.0071657,-0.098084,0,0,0,0.0002599
16,0.0026854,0.04021,0,0.00026516,0.018812,0,0,0,-5702.3,-78052,0,-0.0071657,-0.098084,0,0,0,0.0002599
15,0.0028094,0.040202,0,0.00027748,0.018936,0,0,0,-7777.7,-78268,0,-0.0097737,-0.098354,0,0,0,0.00028146
15,0.0029833,0.040189,0,0.00029475,0.01911,0,0,0,-8351.7,-79022,0,-0.010495,-0.099302,0,0,0,0.00029862
15,0.0029833,0.040189,0,0.00029475,0.01911,0,0,0,-8351.7,-79022,0,-0.010495,-0.099302,0,0,0,0.00029862
15,0.0031589,0.040176,0,0.00031253,0.019287,0,0,0,-8974.3,-79877,0,-0.011277,-0.10038,0,0,0,0.00031628
16,0.003281,0.040166,0,0.00032488,0.019409,0,0,0,-7301.8,-80836,0,-0.0091757,-0.10158,0,0,0,0.00031974
16,0.003281,0.040166,0,0.00032488,0.019409,0,0,0,-7301.8,-80836,0,-0.0091757,-0.10158,0,0,0,0.00031974
16,0.0035785,0.040141,0,0.00035565,0.019708,0,0,0,-8180.9,-82552,0,-0.01028,-0.10374,0,0,0,0.00035056
16,0.0035785,0.040141,0,0.00035565,0.019708,0,0,0,-8180.9,-82552,0,-0.01028,-0.10374,0,0,0,0.00035056
16,0.0038758,0.040113,0,0.00038714,0.020006,0,0,0,-9115.8,-84511,0,-0.011455,-0.1062,0,0,0,0.00038209
16,0.0038758,0.040113,0,0.00038714,0.020006,0,0,0,-9115.8,-84511,0,-0.011455,-0.1062,0,0,0,0.00038209
15,0.0041449,0.040086,0,0.00041641,0.020277,0,0,0,-12878,-86084,0,-0.016183,-0.10818,0,0,0,0.00041948
15,0.0041729,0.040083,0,0.00041945,0.020305,0,0,0,-12997,-86288,0,-0.016332,-0.10843,0,0,0,0.00042251
15,0.0041729,0.040083,0,0.00041945,0.020305,0,0,0,-12997,-86288,0,-0.016332,-0.10843,0,0,0,0.00042251
15,0.0044698,0.040051,0,0.00045268,0.020603,0,0,0,-14390,-88643,0,-0.018082,-0.11139,0,0,0,0.00045551
15,0.0044698,0.040051,0,0.00045268,0.020603,0,0,0,-14390,-88643,0,-0.018082,-0.11139,0,0,0,0.00045551
15,0.004516,0.040046,0,0.00045802,0.02065,0,0,0,-14635,-89067,0,-0.018391,-0.11192,0,0,0,0.00046081
16,0.0047664,0.040017,0,0.00048693,0.020902,0,0,0,-12368,-91940,0,-0.015542,-0.11554,0,0,0,0.00048197
16,0.0047664,0.040017,0,0.00048693,0.020902,0,0,0,-12368,-91940,0,-0.015542,-0.11554,0,0,0,0.00048197
16,0.0050628,0.039981,0,0.00052235,0.021201,0,0,0,-13670,-95085,0,-0.017179,-0.11949,0,0,0,0.00051741
16,0.0050628,0.039981,0,0.00052235,0.021201,0,0,0,-13670,-95085,0,-0.017179,-0.11949,0,0,0,0.00051741
